mid,balance,leverage,trades
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71239.75,1.0002141,3.2049322,1567.0
71239.75,1.0001214,1.8168927,1730.0
71231.75,0.99991727,1.8172636,1730.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71231.75,0.99991566,1.8551725,1733.0
71215.75,0.99949884,1.8559462,1733.0
71209.75,0.9991025,2.8758974,1820.0
71213.25,0.9992429,2.9107654,1822.0
71213.25,0.9992429,2.9107654,1822.0
71213.25,0.9992429,2.9107654,1822.0
71213.25,0.9992429,2.9107654,1822.0
71213.25,0.9992429,2.9107654,1822.0
71228.75,0.99987596,2.9089224,1822.0
71231.25,0.9999817,2.4230936,1844.0
71240.25,1.0002508,2.11085,1852.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71240.25,1.0001267,1.0669545,1943.0
71246.75,1.0002241,1.0668507,1943.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71246.75,1.0001478,0.70371944,1992.0
71240.25,1.0000836,0.7037646,1992.0
71236.25,0.99996966,1.478961,2091.0
71228.75,0.99961156,2.769999,2172.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71228.75,0.9995705,3.2924168,2234.0
71239.25,1.0000557,3.2908196,2234.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71239.25,1.0000294,1.7414172,2420.0
71240.25,1.0000539,1.7413746,2420.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71240.25,1.0000422,1.3649337,2475.0
71254.75,1.00032,1.3645546,2475.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71254.75,0.99963856,2.1243172,2846.0
71231.75,1.0003241,2.1228614,2846.0
71236.75,0.9996439,2.4771602,3322.0
71231.75,0.99947006,2.4775913,3322.0
71231.75,0.99947006,2.4775913,3322.0
71231.75,0.99947006,2.4775913,3322.0
71225.75,0.99926144,2.4781084,3322.0
71225.75,0.9992276,3.2225657,3473.0
71225.75,0.9992276,3.2225657,3473.0
71225.25,0.999205,3.2226386,3473.0
71225.25,0.9992041,3.3061044,3482.0
71225.25,0.9992041,3.3061044,3482.0
71212.25,0.9986009,3.3081014,3482.0
71214.75,0.9984494,5.5786614,3692.0
71216.75,0.99860585,5.5777874,3692.0
71225.25,0.9992726,5.5601544,3693.0
71225.75,0.999329,5.419342,3699.0
71225.75,0.99933213,5.3936143,3700.0
71225.75,0.99933213,5.3936143,3700.0
71232.75,0.9998619,5.390757,3700.0
71232.75,0.9998765,4.8209014,3733.0
71232.75,0.9998765,4.8209014,3733.0
71232.75,0.9998765,4.8209014,3733.0
71232.75,0.9998765,4.8209014,3733.0
71232.75,0.9998765,4.8209014,3733.0
71243.75,1.0006207,4.8173156,3733.0
71243.75,1.0005238,4.064897,3767.0
71243.75,1.0005238,4.064897,3767.0
71243.75,1.0005238,4.064897,3767.0
71243.75,1.0005238,4.064897,3767.0
71243.75,1.0005238,4.064897,3767.0
71243.75,1.0005238,4.064897,3767.0
71274.25,1.0022639,4.05784,3767.0
71270.75,0.9996773,1.2728177,4256.0
71247.25,1.0000969,1.2722838,4256.0
71247.25,1.0000947,1.2432414,4261.0
71236.75,1.000278,1.2430136,4261.0
71236.75,1.0002189,0.9785453,4295.0
71236.75,1.0002189,0.9785453,4295.0
71236.75,1.0002189,0.9785453,4295.0
71235.25,1.0002394,0.9785251,4295.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71235.25,1.0002365,0.9664584,4298.0
71224.25,1.0003858,0.96631414,4298.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71224.25,1.0000981,0.24591202,4379.0
71227.75,1.0000861,0.24591498,4379.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71227.75,1.0000842,0.29575336,4388.0
71214.25,1.0001402,0.29573676,4388.0
71195.75,0.9997099,0.78922784,4492.0
71195.75,0.999433,2.9053833,4712.0
71195.75,0.999433,2.9053833,4712.0
71195.75,0.999433,2.9053833,4712.0
71195.75,0.999433,2.9053833,4712.0
71199.75,0.9995961,2.904909,4712.0
71199.75,0.99959695,2.899005,4716.0
71199.75,0.99959695,2.899005,4716.0
71201.25,0.999658,2.898828,4716.0
71201.25,0.999659,2.8905358,4719.0
71201.25,0.999659,2.8905358,4719.0
71201.25,0.999659,2.8905358,4719.0
71212.75,1.0001256,2.889187,4719.0
71214.25,1.0001739,2.6935909,4747.0
71214.25,1.0001668,2.5832555,4761.0
71214.25,1.0001668,2.5832555,4761.0
71214.25,1.0001668,2.5832555,4761.0
71214.25,1.0001668,2.5832555,4761.0
71214.25,1.0001668,2.5832555,4761.0
71219.25,1.0003482,2.5827873,4761.0
71227.75,1.0006319,2.485506,4777.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71227.75,1.0005541,2.179507,4806.0
71231.25,1.0006611,2.1792736,4806.0
71231.25,1.0003009,0.99200654,4950.0
71234.75,1.0003496,0.9919582,4950.0
71249.25,0.9998646,0.54332113,5052.0
71249.25,0.9995168,2.767974,5203.0
71249.25,0.9995168,2.767974,5203.0
71249.25,0.9995168,2.767974,5203.0
71249.25,0.9995168,2.767974,5203.0
71249.25,0.9995168,2.767974,5203.0
71243.75,0.9997303,2.7673826,5203.0
71243.75,0.9997605,2.4574542,5218.0
71243.75,0.9997605,2.4574542,5218.0
71236.75,1.0000019,2.456861,5218.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
